,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
25,47.0,91.0,,98.0,42.0,91.0,94.0,,,97.0,82.0,93.0,72.0,,99.0,,76.0,92.0,,,99.0,,100.0,99.0,99.0,99.0,99.0,56.0,97.0,88.0,100.0,16.0,100.0,,86.0,77.0,97.0,,84.0,72.0,99.0,98.0,97.0,,82.0,48.0,,,,97.0
26,51.0,94.0,,98.0,48.0,94.0,82.0,,,100.0,86.0,97.0,42.0,,100.0,,81.0,93.0,,,99.0,,,99.0,100.0,99.0,99.0,62.0,100.0,92.0,,22.0,,,87.0,79.0,98.0,,85.0,76.0,99.0,98.0,99.0,,86.0,50.0,,,,99.0
27,57.0,99.0,,98.0,72.0,82.0,88.0,,,,91.0,97.0,48.0,,,,84.0,73.0,,,99.0,,,99.0,,99.0,99.0,66.0,,94.0,,57.0,,,90.0,82.0,98.0,,86.0,77.0,99.0,99.0,100.0,,92.0,34.0,,,,99.0
28,58.0,99.0,,98.0,76.0,85.0,93.0,,,,97.0,97.0,85.0,,,,88.0,79.0,,,99.0,,,99.0,,99.0,99.0,48.0,,100.0,,60.0,,,73.0,84.0,98.0,,90.0,79.0,99.0,99.0,,,82.0,40.0,,,,99.0
29,60.0,99.0,,98.0,79.0,91.0,99.0,,,,97.0,99.0,88.0,,,,92.0,85.0,,,99.0,,,99.0,,99.0,100.0,52.0,,,,66.0,,,76.0,90.0,98.0,,91.0,85.0,100.0,99.0,,,86.0,16.0,,,,99.0
30,62.0,99.0,,100.0,83.0,73.0,100.0,,,,97.0,99.0,91.0,,,,98.0,89.0,,,99.0,,,99.0,,99.0,,56.0,,,,48.0,,,77.0,94.0,98.0,,73.0,88.0,,99.0,,,92.0,39.0,,,,99.0
31,63.0,99.0,,,87.0,77.0,,,,,100.0,99.0,97.0,,,,98.0,92.0,,,100.0,,,99.0,,99.0,,59.0,,,,51.0,,,81.0,100.0,98.0,,74.0,92.0,,99.0,,,94.0,45.0,,,,99.0
32,66.0,99.0,,,89.0,80.0,,,,,,99.0,99.0,,,,98.0,73.0,,,,,,99.0,,99.0,,60.0,,,,72.0,,,83.0,,99.0,,77.0,94.0,,99.0,,,73.0,48.0,,,,99.0
33,67.0,99.0,,,92.0,81.0,,,,,,99.0,99.0,,,,98.0,75.0,,,,,,99.0,,99.0,,65.0,,,,75.0,,,87.0,,99.0,,81.0,99.0,,99.0,,,76.0,85.0,,,,99.0
34,73.0,99.0,,,94.0,85.0,,,,,,99.0,99.0,,,,98.0,80.0,,,,,,99.0,,99.0,,69.0,,,,79.0,,,91.0,,99.0,,85.0,99.0,,99.0,,,80.0,91.0,,,,99.0
35,77.0,100.0,,,97.0,91.0,,,,,,99.0,99.0,,,,98.0,83.0,,,,,,99.0,,99.0,,75.0,,,,83.0,,,82.0,,99.0,,90.0,99.0,,99.0,,,83.0,93.0,,,,99.0
36,83.0,,,,97.0,82.0,,,,,,99.0,99.0,,,,98.0,86.0,,,,,,99.0,,99.0,,79.0,,,,85.0,,,83.0,,99.0,,94.0,99.0,,99.0,,,87.0,99.0,,,,99.0
37,87.0,,,,100.0,85.0,,,,,,99.0,99.0,,,,98.0,91.0,,,,,,99.0,,99.0,,82.0,,,,90.0,,,89.0,,99.0,,98.0,99.0,,99.0,,,90.0,99.0,,,,99.0
38,93.0,,,,,91.0,,,,,,99.0,99.0,,,,98.0,93.0,,,,,,99.0,,99.0,,88.0,,,,92.0,,,93.0,,99.0,,98.0,99.0,,99.0,,,91.0,99.0,,,,99.0
39,99.0,,,,,97.0,,,,,,99.0,99.0,,,,98.0,99.0,,,,,,99.0,,99.0,,92.0,,,,73.0,,,99.0,,99.0,,98.0,99.0,,99.0,,,93.0,99.0,,,,99.0
40,99.0,,,,,99.0,,,,,,99.0,99.0,,,,98.0,99.0,,,,,,99.0,,100.0,,98.0,,,,79.0,,,99.0,,99.0,,98.0,99.0,,99.0,,,99.0,99.0,,,,99.0
41,99.0,,,,,99.0,,,,,,99.0,99.0,,,,98.0,99.0,,,,,,99.0,,,,98.0,,,,81.0,,,99.0,,100.0,,98.0,99.0,,99.0,,,99.0,99.0,,,,99.0
42,99.0,,,,,99.0,,,,,,99.0,99.0,,,,100.0,99.0,,,,,,99.0,,,,99.0,,,,85.0,,,99.0,,,,98.0,99.0,,99.0,,,99.0,99.0,,,,99.0
43,100.0,,,,,99.0,,,,,,99.0,99.0,,,,,99.0,,,,,,99.0,,,,99.0,,,,87.0,,,99.0,,,,99.0,99.0,,99.0,,,99.0,99.0,,,,99.0
44,,,,,,99.0,,,,,,99.0,99.0,,,,,99.0,,,,,,99.0,,,,99.0,,,,90.0,,,99.0,,,,99.0,99.0,,99.0,,,100.0,99.0,,,,99.0
45,,,,,,99.0,,,,,,99.0,99.0,,,,,99.0,,,,,,99.0,,,,99.0,,,,82.0,,,99.0,,,,99.0,99.0,,99.0,,,,99.0,,,,99.0
46,,,,,,99.0,,,,,,99.0,99.0,,,,,99.0,,,,,,99.0,,,,99.0,,,,84.0,,,99.0,,,,99.0,100.0,,99.0,,,,99.0,,,,99.0
47,,,,,,100.0,,,,,,99.0,99.0,,,,,99.0,,,,,,100.0,,,,99.0,,,,88.0,,,99.0,,,,99.0,,,100.0,,,,99.0,,,,99.0
48,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,,,,99.0,,,,94.0,,,99.0,,,,99.0,,,,,,,99.0,,,,99.0
49,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,99.0,,,,99.0,,,,,,,99.0,,,,99.0
50,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,100.0,,,,99.0,,,,,,,99.0,,,,99.0
51,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,,,,,99.0,,,,,,,99.0,,,,99.0
52,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,,,,,99.0,,,,,,,99.0,,,,99.0
53,,,,,,,,,,,,99.0,99.0,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,,,,,99.0,,,,,,,99.0,,,,99.0
54,,,,,,,,,,,,99.0,100.0,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,,,,,99.0,,,,,,,99.0,,,,99.0
55,,,,,,,,,,,,99.0,,,,,,99.0,,,,,,,,,,99.0,,,,98.0,,,,,,,99.0,,,,,,,99.0,,,,99.0
56,,,,,,,,,,,,100.0,,,,,,100.0,,,,,,,,,,99.0,,,,98.0,,,,,,,100.0,,,,,,,99.0,,,,99.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,98.0,,,,,,,,,,,,,,99.0,,,,99.0
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,98.0,,,,,,,,,,,,,,99.0,,,,99.0
59,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,100.0,,,,,,,,,,,,,,99.0,,,,99.0
60,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,99.0,,,,99.0
61,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,99.0,,,,99.0
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,99.0,,,,99.0
63,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,100.0,,,,99.0
64,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
65,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
66,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
67,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
68,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
69,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
70,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
72,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
73,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
75,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
76,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,,,,,,,,,,,,,,,,,,,99.0
77,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,99.0
78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0
